1:8,1,7,9,6,3,3,3,2,9,4,1,3,3,7,9,5,2,3,6,8,3,3,1,8,1,2,7,7,6
2:2,9,6,1,4,1,9,5,9,1,8,4,3,6,1,6,7,7,2,6,4,8,7,5,5,1,8,8,7,5
3:7,8,5,3,8,5,4,2,3,9,9,4,1,3,7,9,8,8,7,5,4,2,3,9,1,2,8,4,5,6
4:6,7,6,4,9,5,2,6,4,6,4,3,8,8,8,5,1,3,2,1,6,4,5,7,9,5,5,9,4,3
5:2,3,6,1,8,7,2,5,4,4,5,5,5,8,2,5,5,1,4,5,1,2,1,2,7,5,3,5,8,1
6:8,8,7,6,9,2,1,4,1,7,7,3,5,4,1,5,4,8,7,7,5,7,9,5,5,5,5,9,7,1
7:2,5,7,9,5,1,8,9,5,5,6,8,1,6,7,2,2,9,5,7,2,9,8,5,4,5,2,7,2,1
8:3,1,5,3,9,4,1,5,8,2,7,5,4,4,9,8,9,4,2,3,5,1,6,2,7,6,8,3,3,6
9:3,2,7,3,4,3,6,7,6,7,1,6,2,9,7,1,5,5,6,8,5,7,7,8,2,5,5,6,2,5
10:5,2,8,9,1,5,9,2,1,6,3,3,9,8,5,2,4,3,9,1,8,2,3,3,6,5,5,7,8,2
11:1,5,7,4,2,5,6,8,5,5,3,7,3,2,2,2,6,3,9,6,1,4,1,9,8,2,2,5,6,9
12:2,4,2,5,7,7,1,6,9,8,3,4,3,8,7,8,5,2,5,5,4,8,6,5,7,6,9,5,5,8
13:1,1,6,8,2,7,1,1,3,9,4,5,7,1,7,7,8,7,1,4,9,1,6,4,2,9,2,7,2,8
14:1,3,4,1,2,2,6,5,6,9,1,7,2,4,1,3,5,9,6,5,9,3,4,7,9,5,8,8,2,6
15:5,1,7,8,2,9,1,7,4,4,8,6,4,5,5,1,9,3,4,6,1,1,5,6,2,6,5,1,6,8
16:3,7,7,2,2,8,2,7,3,5,8,8,9,1,9,5,9,8,6,2,7,7,8,4,1,7,8,4,6,5
17:4,9,3,1,6,7,5,6,3,2,4,1,8,3,7,5,5,5,3,3,1,5,5,6,5,1,5,4,9,1
